A,B,C,D,E,F
27,129.06,5,65.26,51.6219,73.7236
17,69.29,13,169.55,-15.2795,-7.4523
30,147.13,20,260.23,-40.0196,-46.0373
10,27.49,5,64.99,-56.6409,-72.4969
9,21.38,5,65.24,-41.6453,-85.3854
16,63.26,17,221.53,-61.5662,-78.801
38,195.12,25,325.44,35.2131,87.1552
15,57.07,15,195.22,11.9795,9.02722
23,105.15,27,351.15,-6.78735,-12.2447
11,32.97,9,117.25,6.5606,7.54709
20,87.11,33,429.21,-53.4745,-7.51534
2,-20.81,28,364.14,26.8984,30.9431
37,189.09,29,377.08,-2.62225,-6.49028
35,177.27,26,338.25,-17.7265,-3.12566
9,20.98,14,182.35,26.8413,39.7938
31,153.15,3,39.24,8.08915,3.94534
39,201.15,27,351.21,-52.4842,-7.37617
32,159.32,19,247.44,-17.0193,-5.86022
11,33.49,27,351.55,15.3677,24.5934
13,45.41,12,156.27,2.26413,1.96818
31,153.19,8,104.54,-57.882,-22.2188
5,-2.77,16,208.46,21.142,22.672
3,-14.6,39,507.53,10.7246,8.99902
30,147.19,27,351.22,19.7772,60.8676
12,39.54,36,468.35,-0.798636,-0.601815
13,45.25,0,-0.03,18.7661,2.97225
33,165.25,7,91.48,-65.7753,-29.285
23,105.14,17,221.18,19.5703,68.2496
8,15.29,6,78.13,23.6003,58.4126
3,-14.46,19,247.3,25.747,3.6185
8,15.51,17,221.42,-90.6164,-20.9204
15,57.31,35,455.14,-16.759,-46.0449
6,3.46,23,299.47,48.8567,38.171
26,123.27,17,221.55,20.5061,20.5061
28,135.54,32,416.38,-31.8756,-8.54102
34,171.45,31,403.4,-15.7114,-54.7919
25,117.38,23,299.5,-19.1845,-8.54146
4,-8.87,14,182.04,41.7181,69.4305
6,3.04,38,494.33,46.5418,83.9635
11,33.25,18,234.29,7.50001,12.9904
4,-8.63,37,481.49,-31.2653,-50.0348
14,51.14,20,260.55,29.1564,22.7795
12,39.2,29,377.39,-4.66288,-3.77592
2,-20.54,5,65.03,41.4167,88.8181
14,51.5,12,156.06,-39.4535,-88.6139
7,9.16,14,182.06,40.601,5.70609
13,45.34,11,143.21,33.0999,43.9249
34,171.26,31,403.51,-24,-41.5692
35,177.04,5,65.51,-27.6174,-56.624
32,159.08,32,416.3,59.1575,31.4546
14,50.98,32,416.15,-39.8689,-16.1081
15,56.97,22,286.07,64.1079,68.7472
35,177.33,27,351.32,61.8862,53.7968
29,141.1,8,103.99,89.3281,17.3636
26,123.09,36,468.4,61.3946,49.7163
12,39,21,273.37,22.878,79.7847
8,15.13,12,156.03,-41.7699,-4.39019
25,116.98,19,247.33,-59.4742,-32.967
3,-14.92,4,52.27,-2.95833,-6.34415
34,171.43,8,104.04,-50.8637,-10.8114
12,39.07,18,234.49,28.8666,33.2072
31,153.12,23,299.47,5.03202,3.26783
7,9.21,20,260.22,-50.1591,-36.4427
7,9.02,32,416.23,15.9621,30.0202
12,39.34,21,272.99,-58.4622,-13.4971
14,51.48,30,390.48,4.32625,13.3148
11,33.04,26,338.17,-24.8687,-20.1382
5,-2.46,29,376.98,49.2826,78.8684
0,-33.03,32,416.26,-61.2367,-9.69893
22,99.3,30,390.09,63.0485,25.4732
16,62.98,32,416.15,-56.1334,-28.6014
25,117.25,2,26.46,-80.665,-32.5907
28,135.17,38,494.56,-4.01504,-5.73406
33,165.56,0,-0.02,-19.9186,-11.5
25,117.51,12,156.3,14.539,21.555
10,27.09,16,208.52,-5.29007,-7.28115
31,153.21,8,104.01,-67.6148,-18.1173
7,9.26,4,52.41,-34.1257,-37.9004
17,69.04,8,104.05,-18.6352,-48.5462
11,33.36,16,208.19,-54.801,-81.2456
26,123.36,18,234.38,66.8986,64.6032
35,177.09,19,247.21,39.7821,9.91879
9,21.2,20,260.27,-48.2963,-12.9409
18,75.05,10,130.35,-5.19615,-3
26,123.27,9,117.49,42.2638,36.7393
4,-8.74,34,441.99,-33.6442,-9.6473
10,27.38,4,52.1,-66.574,-21.6312
26,123.46,10,130.39,-33.7466,-4.14355
33,165.42,27,351.37,-79.2215,-11.1338
38,195.53,38,494.42,37.1299,45.8516
23,105.11,35,455.05,29.3111,10.0926
32,159.25,15,195.05,63.6378,73.2068
33,165.21,20,260.22,-84.8705,-49
21,92.99,22,286.32,-12.4741,-6.35586
3,-14.6,38,494.34,-22.9154,-62.9594
12,39.19,39,507.37,37.2825,53.2449
